video_id,title,channel_title,published_at,category_id,tags,duration,views,likes,comments,region
qNw8ejrI0nM,DADDY YANKEE || BZRP Music Sessions #0/66,Bizarrap,2025-11-06T00:00:56Z,24,"['bizarrap', 'biza', 'bisa', 'bizzarrap', 'bzrp', 'bzrp music sessions', 'trap', 'musica latina', 'argentina', 'méxico', 'españa', 'hip hop', 'rap', 'biza session', 'reggaeton', 'music session', 'USA', 'Puerto rico', 'el biza la soltó', 'España', 'latin music', 'puerto rico', 'el biza', 'shakira', 'shak y biza', 'bisa y shak', 'una loba', 'bellaco', 'gonzalo', 'bizarraaap', 'DADDY YANKEE || BZRP Music Sessions #0/66', '66', 'masivo', 'fuego', 'daddy', 'daddy yankee', 'yankee', 'dy', 'alias el calenton', 'codigo 787', '787', 'big boss', 'cangris', 'reggaeton old school', 'barrio fino']",PT2M40S,2245591,793755,53189,US
NQypHE9_Fm4,Five Nights at Freddy's 2 | Official Trailer 2,Universal Pictures,2025-11-05T05:02:37Z,24,[],PT1M45S,3191080,245407,9568,US
OPZoLZBXD0Y,RATED R. RATED R. RATED R. | Dispatch (Episode 3 + 4),CoryxKenshin,2025-11-04T22:49:53Z,20,"['dispatch', 'dispatch game', 'gameplay', 'episode 3', 'episode 4', 'walkthrough', 'playthrough', 'turnover', 'restructure', 'rated r', 'blonde blazer', 'date', 'invisigal', 'movie', 'choice', 'coryxkenshin', 'cory', 'kenshin', 'funny', 'hilarious', 'moments', 'edits', 'reaction']",PT1H52M19S,3619240,297016,31042,US
7BODJ6wGOVo,Romeo Santos - Imitadora (Letra),sweetblue.,2025-11-05T01:33:24Z,10,"['recomendados', 'sped up', 'letra en español', 'lyrics', 'español', 'sub español', 'traducción', 'tiktok', 'edit', 'sweetblue', 'recomendación', 'para ti', 'búsquedas', 'letra', 'musica', 'musica independiente', 'trend']",PT3M55S,1467974,2093,41,US
0-QHLFqppLQ,FNAF 2 Movie Final Trailer - FULL ANALYSIS,FuhNaff,2025-11-05T16:00:01Z,20,"['fnaf', 'fnaf 2', 'fnaf 4', 'fnaf 3', 'fnaf 1', 'fnaf 6', 'fnaf2', 'fnaf dbd', 'fnaf lore', 'fnaf news', 'fnaf meme', 'fnaf ruin', 'fnaf foxy', 'fnaf movie', 'fnaf music', 'fnaf books', 'fnaf mimic', 'fnaf 2 movie', 'fnaf movie 2', 'fnaf theory', 'fnaf 2 remake', 'fnaf 2 teaser', 'fnaf 2 trailer', 'fnaf fan games', 'fnaf timeline', 'fnaf movie news', 'fuhnaff', 'fnaf movie trailer']",PT16M3S,75762,6314,328,US
8q6tDjxpajQ,NO MORE SECRETS (Dispatch 5 & 6),jacksepticeye,2025-11-05T17:00:13Z,20,['jacksepticeye'],PT2H11M26S,874567,70459,4691,US
I3IcQsfC7jA,One Direction - Night Changes (Lyrics),7clouds,2025-11-05T15:42:11Z,10,"['night changes', 'night changes lyrics', 'lyrics night changes', 'one direction', 'lyrics', 'one direction night changes', 'night changes one direction', 'one direction night changes lyrics', 'lyrics one direction night changes', 'one direction lyrics', 'lyrics night changes one direction', 'night changes one direction lyrics', ""We're only gettin' older baby"", ""And I've been thinkin' about it lately"", 'Does it ever drive you crazy', 'Even when the night changes', 'It will never change me and you', 'pop', 'music']",PT3M47S,677309,2082,95,US
-INxQXu9utM,Dress To Impress x Wicked: For Good | 2025 Cinematic Gameplay Trailer,Dress To Impress,2025-11-05T16:00:07Z,20,[],PT3M10S,151012,16939,2723,US
CEdu0gp4Kog,2025 World Series of Poker Main Event,CBS Sports Network,2025-10-24T15:25:29Z,24,[],P0D,0,0,0,US
8rV7PcLlMSI,Marc Anthony - Flor Pálida 🥀 (Letra/Lyrics),Sauce Beat,2025-11-05T19:39:35Z,10,"['Marc Anthony Flor Pálida', 'Flor Pálida Marc Anthony', 'Marc Anthony Flor Pálida letra', 'Marc Anthony Flor Pálida lyrics', 'Flor Pálida letra', 'Flor Pálida lyrics', 'Marc Anthony Flor Pálida video oficial', 'salsa romántica', 'Salsa', 'Bachata y salsa', 'Música latina', 'Música romántica', 'Salsa mix', 'Marc Anthony mix']",PT4M41S,246840,531,3,US
