video_id,title,channel_title,published_at,category_id,tags,duration,views,likes,comments,region
2VIwgfgFFJk,KPOP DEMON HUNTERS 2 - Trailer (2027) Netflix & Sony Animation,Teaser Universe,2025-11-03T15:30:02Z,1,"['kpop demon hunters 2', 'kpop demon hunters 2 trailer', 'kpop demon hunters 2 official trailer', 'kpop demon hunters 2 full movie', 'kpop demon hunters 2 songs', 'kpop demon hunters 2 trailer 2026', 'kpop demon hunters 2 official trailer netflix', 'kpop demon hunters 2 release date', 'kpop demon hunters 2 real trailer', 'kpop demon hunters 2 announcement', 'kpop demon hunters 2 movie', 'kpop demon hunters 2 and 3', 'kpop demon hunters', 'netflix', 'sony', 'kpop', 'rumi and jinu', 'kpop demon hunters sequel']",PT1M3S,89995,597,144,
mB6swBWdMRA,I wasn't going to show this..,Asmongold TV  ,2025-11-04T13:01:41Z,20,"['asmongold', 'asmongold reacts', 'asmongold wow', 'asmongold highlights', 'asmongold youtube', 'world of warcraft', 'asmongold funny', 'asmongold tv', 'asmongold channel', 'zackrawrr']",PT36M29S,857576,37979,5847,
dvLlvTmXsuw,Yungeen Ace - Problem (Official Video),Yungeen Ace,2025-11-05T00:00:28Z,10,"['yungeen ace', 'jacksonville florida', 'florida', 'jacksonville', 'lil durk', 'moneybagg yo', 'lil baby', 'nba youngboy', 'youngboy never broke again', 'nocap', 'jaydayoungan', 'all on me', 'kodak black', 'Bossman Dlow', 'YTB Fatt', 'problem', 'yungeen ace problem']",PT2M4S,41820,7740,733,
iBhpNZZ-Wwo,Predator: Badlands | Official Clip,20th Century Studios,2025-11-03T20:00:40Z,1,['Trailer'],PT59S,189188,4285,519,
7GO_i6j1vdc,All Steal A Brainrots Meet The Owner...,FuzzBlox,2025-11-04T17:30:04Z,20,"['roblox steal a brainrot', 'steal a brainrot', 'roblox', 'fuzzblox', 'fuzzblox steal a brainrot', 'steal a brainrot roblox', 'steal a brainrot new secret', 'steal a brainrot new update', 'steal a brainrot update', 'All Steal A Brainrots Meet The Owner...']",PT23M19S,266670,12342,741,
zfD3BVRTuN4,James Arthur - Impossible (Lyrics),Aura Country,2025-11-03T16:11:48Z,10,"['country music', 'auracountry', 'james arthur', 'impossible', 'james arthur impossible', 'impossible james arthur', 'james arthur impossible lyrics', 'impossible james arthur lyrics', 'james arthur lyrics impossible', 'impossible lyrics james arthur', 'james arthur lyrics', 'impossible lyrics', 'lyrics james arthur', 'lyrics impossible', 'James Arthur - Impossible', 'Tell them all I know now Shout it from the rooftops', 'Write it on the skyline All we had is gone now', 'Tell them I was happy And my heart is broken']",PT3M30S,2303475,5140,33,
stcB00iOKrI,"Avengers Doomsday Trailer Update, Shrek 5 Redesign, Godzilla Minus Zero Teaser & MORE!!",3C Films,2025-11-04T00:42:17Z,24,[],PT14M31S,113187,7421,722,
d9E7CvV4CGk,$125 Spins On New High Limit Phoenix Link,Vegas Matt,2025-11-04T19:45:04Z,24,"['Las Vegas', 'Vegas', 'gamble', 'handpay', 'slot machine', 'winning', 'losing', 'slots', 'gambling', 'slot', 'vegas matt', 'casino', 'vegasmatt', 'vegas matt slots', 'jackpot', 'slot machine handpay', 'casinos', 'baccarat', 'blackjack', 'roulette', 'get even or even worse', 'sando']",PT49M40S,179017,9849,809,
q5qxrbVrmm8,VonOff1700 - One Bloodz (Official Video),VonOff1700,2025-11-04T20:15:04Z,10,[],PT1M51S,78197,9545,509,
aEa1Dn_tOkA,Shiva Movie 4K Official Trailer | King Nagarjuna | RGV | Amala Akkineni | In Theatres Nov 14th,Annapurna Studios,2025-11-04T12:00:02Z,24,"['annapurna studios', 'Shiva movie 4K trailer', 'Shiva 4K', 'Nagarjuna Shiva', 'Ram Gopal Varma Shiva', 'Amala Shiva movie', 'Annapurna Studios', 'Nagarjuna 4K trailer', 'Shiva re-release', 'Shiva Telugu movie', 'RGV Shiva trailer', 'Nagarjuna classic movie', 'Akkineni Nagarjuna', 'Telugu cult classic', 'Shiva full movie 4K', 'Shiva movie remastered', 'Allu Arjun', 'Prabhas', 'ss rajamouli', 'NTR', 'megastar', 'sandeep reddy vanga', 'sekhar kammula', 'mahesh babu', 'nani', 'mani ratnam', 'Nov 14th', 'amala akkineni']",PT3M33S,593422,21185,930,
4FfXPMOtJrk,MY BEST FORCE WIPE - Rust,Blooprint,2025-11-04T20:01:39Z,20,"['rust', 'blooprint rust', 'blooprint', 'rust pvp', 'rust base', 'rust survival', 'rust montage', 'rust raid', 'rust 2025', 'rust gameplay 2025', 'blooprint force wipe', 'rust force wipe', 'rust blueprint', 'rust blueprint fragments', 'rust blueprint update', 'blooprint group', 'rust best force wipe', 'rust best wipe', 'blooprint best video', 'blooprint movie', 'rust movie', 'blooprint ted', 'rust online raid', 'rust raid defense', 'rust story', 'rust revenge', 'movie', 'revenge', 'online raid', 'raid defense', 'force wipe']",PT2H14M18S,171455,12721,1194,
pV5QDRprFm0,Lil Mello - Onna BTX (Official Music Video),Lil Mello,2025-11-04T19:01:00Z,10,"['Detroit', 'the biggest', 'onna btx', 'lil mello', 'baby slime', 'mello 700', 'TikTok', 'Viral Tiktok']",PT2M,43584,893,57,
